0,0,velocity of light is 3 *10^8 ,1,0,0
1,1,The magnetic field is the area around a magnet in which there is magnetic force,1,0,0
2,1,The real ans is ans,2,1,10
3,1,Matrix Chain Multiplication.,1,0,0
4,1,Using Dynamic Programming.,1,0,0
5,1,Hi,1,0,0
6,1,Matrix Multication,1,0,0
7,1,Mouse Listener is a type of event Listener.,1,1,1
8,1,Physics Forum is the best place to get this answer.,1,0,0
9,1,Refer to Physics forum.,1,0,0
10,1,Manipulated file.,1,0,0
11,1,Hello,1,0,0
12,12,It is used to make front end for UI in java.,5,0,0
13,8,By using LocalDate.now().,1,0,0
14,17,According to test plan check if test cases pass or fail and make the report.,1,0,0
15,10,We can do using BufferedReader class.,5,0,0
16,12,In java we can create user interfaces using java swing.,0,0,0
17,5,Using java.Date package.,1,1,1
18,5,Using java.Date package.,1,1,1
19,0,LocalDate.now(),1,1,1
20,5,Using LocalDate.now(),8,1,1
21,1,HashMap/ArrayList/Stack/Queue,1,1,1
22,4,3*10^8,1,0,0
